,SKU,price,category,brand,platform
0,Axis 5000,5875,Pulsa,AXIS,shopee
1,Axis 10000,10825,Pulsa,AXIS,shopee
2,Axis 15.000,14900,Pulsa,AXIS,shopee
3,Axis 25.000,24900,Pulsa,AXIS,shopee
4,Axis 30.000,29900,Pulsa,AXIS,shopee
6,Axis 50.000,49700,Pulsa,AXIS,shopee
12,Axis 100.000,99300,Pulsa,AXIS,shopee
13,Axis 200.000,199000,Pulsa,AXIS,shopee
14,Axis 300.000,298750,Pulsa,AXIS,shopee
21,AXIS 500.000,498800,Pulsa,AXIS,shopee
22,AXIS 1.000.000,995000,Pulsa,AXIS,shopee
0,Indosat 5000,5850,Pulsa,INDOSAT,shopee
1,Indosat 10000,11050,Pulsa,INDOSAT,shopee
3,Indosat 12000,11990,Pulsa,INDOSAT,shopee
4,Indosat 15.000,14980,Pulsa,INDOSAT,shopee
5,Indosat 20.000,19730,Pulsa,INDOSAT,shopee
6,Indosat 20.000,19950,Pulsa,INDOSAT,shopee
13,INDOSAT 25.000,24875,Pulsa,INDOSAT,shopee
14,Indosat 30.000,29680,Pulsa,INDOSAT,shopee
20,INDOSAT 50.000,48800,Pulsa,INDOSAT,shopee
21,INDOSAT 50.000,49160,Pulsa,INDOSAT,shopee
22,Indosat 60.000,58750,Pulsa,INDOSAT,shopee
29,Indosat 80.000,78050,Pulsa,INDOSAT,shopee
30,INDOSAT 100.000,97310,Pulsa,INDOSAT,shopee
37,INDOSAT 100.000,96700,Pulsa,INDOSAT,shopee
38,Indosat 125.000,123850,Pulsa,INDOSAT,shopee
46,INDOSAT 150.000,148100,Pulsa,INDOSAT,shopee
47,INDOSAT 200.000,198600,Pulsa,INDOSAT,shopee
54,INDOSAT 250.000,234900,Pulsa,INDOSAT,shopee
55,INDOSAT 500.000,469900,Pulsa,INDOSAT,shopee
62,INDOSAT 1.000.000,959900,Pulsa,INDOSAT,shopee
0,Smartfren 5.000,5200,Pulsa,SMARTFREN,shopee
1,Smartfren 10.000,10050,Pulsa,SMARTFREN,shopee
2,Smartfren 20.000,19750,Pulsa,SMARTFREN,shopee
3,Smartfren 25.000,24800,Pulsa,SMARTFREN,shopee
4,Smartfren 30.000,29750,Pulsa,SMARTFREN,shopee
5,Smartfren 50.000,49200,Pulsa,SMARTFREN,shopee
6,Smartfren 60.000,58850,Pulsa,SMARTFREN,shopee
11,Smartfren 75.000,74525,Pulsa,SMARTFREN,shopee
12,Smartfren 100.000,98200,Pulsa,SMARTFREN,shopee
13,Smartfren 150.000,147200,Pulsa,SMARTFREN,shopee
14,Smartfren 200.000,197000,Pulsa,SMARTFREN,shopee
21,Smartfren 300.000,294600,Pulsa,SMARTFREN,shopee
22,Smartfren 500.000,492200,Pulsa,SMARTFREN,shopee
29,Smartfren 1.000.000,989000,Pulsa,SMARTFREN,shopee
0,Telkomsel 1.000,1700,Pulsa,Telkomsel,shopee
1,Telkomsel 2.000,2800,Pulsa,Telkomsel,shopee
2,Telkomsel 3.000,4850,Pulsa,Telkomsel,shopee
3,Telkomsel 5000,5250,Pulsa,Telkomsel,shopee
4,Telkomsel 10000,10350,Pulsa,Telkomsel,shopee
6,Telkomsel 15.000,14900,Pulsa,Telkomsel,shopee
14,Telkomsel 20000,19890,Pulsa,Telkomsel,shopee
21,Telkomsel 25.000,24875,Pulsa,Telkomsel,shopee
22,Telkomsel 30.000,29875,Pulsa,Telkomsel,shopee
30,Telkomsel 35.000,34950,Pulsa,Telkomsel,shopee
37,Telkomsel 40.000,39800,Pulsa,Telkomsel,shopee
45,Telkomsel 45.000,44950,Pulsa,Telkomsel,shopee
52,Telkomsel 50.000,49705,Pulsa,Telkomsel,shopee
53,Telkomsel 55.000,54950,Pulsa,Telkomsel,shopee
54,Telkomsel 60.000,59950,Pulsa,Telkomsel,shopee
62,Telkomsel 65.000,64950,Pulsa,Telkomsel,shopee
63,Telkomsel 70.000,69900,Pulsa,Telkomsel,shopee
69,Telkomsel 75.000,74500,Pulsa,Telkomsel,shopee
71,Telkomsel 80.000,79900,Pulsa,Telkomsel,shopee
72,Telkomsel 85.000,84900,Pulsa,Telkomsel,shopee
79,Telkomsel 90.000,89900,Pulsa,Telkomsel,shopee
80,Telkomsel 95.000,94900,Pulsa,Telkomsel,shopee
86,Telkomsel 100.000,98500,Pulsa,Telkomsel,shopee
88,Telkomsel 150.000,149000,Pulsa,Telkomsel,shopee
96,Telkomsel 200.000,198100,Pulsa,Telkomsel,shopee
104,Telkomsel 300.000,298450,Pulsa,Telkomsel,shopee
105,Telkomsel 500.000,497250,Pulsa,Telkomsel,shopee
106,Telkomsel 1.000.000,995500,Pulsa,Telkomsel,shopee
0,Three 1.000,1350,Pulsa,three,shopee
1,Three 2.000,2310,Pulsa,three,shopee
2,Three 3.000,3310,Pulsa,three,shopee
3,Three 4.000,4389,Pulsa,three,shopee
4,Three 5.000,5545,Pulsa,three,shopee
5,Three 8.000,8500,Pulsa,three,shopee
6,Three 10.000,10425,Pulsa,three,shopee
11,Three 10.000 (test),10450,Pulsa,three,shopee
12,Three 15.000,14975,Pulsa,three,shopee
13,Three 20.000,19850,Pulsa,three,shopee
21,Three 25.000,24750,Pulsa,three,shopee
22,Three 30.000,29900,Pulsa,three,shopee
30,Three 40.000,39950,Pulsa,three,shopee
31,Three 50.000,49400,Pulsa,three,shopee
38,Three 60.000,59500,Pulsa,three,shopee
39,Three 70.000,70000,Pulsa,three,shopee
46,Three 75.000,74500,Pulsa,three,shopee
47,Three 80.000,80000,Pulsa,three,shopee
54,Three 90.000,90000,Pulsa,three,shopee
55,Three 100.000,98900,Pulsa,three,shopee
60,Three 125.000,124000,Pulsa,three,shopee
61,Three 150.000,148500,Pulsa,three,shopee
62,Three 200.000,197400,Pulsa,three,shopee
63,Three 250.000,246000,Pulsa,three,shopee
69,Three 300.000,297200,Pulsa,three,shopee
70,Three 500.000,495000,Pulsa,three,shopee
0,XL 5000,5900,Pulsa,XL,shopee
1,XL 10.000,10815,Pulsa,XL,shopee
2,XL 15.000,14890,Pulsa,XL,shopee
3,XL 25.000,24830,Pulsa,XL,shopee
4,XL 30.000,29800,Pulsa,XL,shopee
5,XL 50.000,49625,Pulsa,XL,shopee
6,XL 100.000,99300,Pulsa,XL,shopee
13,XL 150.000,149550,Pulsa,XL,shopee
14,XL 200.000,199000,Pulsa,XL,shopee
22,XL 300.000,298250,Pulsa,XL,shopee
23,XL 500.000,497600,Pulsa,XL,shopee
30,XL 1.000.000,995000,Pulsa,XL,shopee
0,BRONET 24 Jam 1GB 1 Hr + Bonus Lokal Kuota,5000,Paket Data,AXIS,shopee
1,"Paket KZL Chat (WhatsApp/LINE/BBM) Unlimited,  7hari",4725,Paket Data,AXIS,shopee
2,Paket KZL Games (AOV &amp; Free Fire) 500MB| 7 hari,4800,Paket Data,AXIS,shopee
3,"Paket KZL Games (Vainglory) 500MB,  7hari",4725,Paket Data,AXIS,shopee
4,"Paket KZL SocMed (FB/IG/Twitter) Unlimited,  7hari",4725,Paket Data,AXIS,shopee
5,"Paket KZL Combo SocMed + Chat Unlimited,  7 hari",6650,Paket Data,AXIS,shopee
6,AIGO Mini 1GB + Lokal 1hr,6000,Paket Data,AXIS,shopee
13,Paket KANGEN 24Jam 30mnt 7hr,7900,Paket Data,AXIS,shopee
14,Paket KZL Games (AOV &amp; Free Fire) 1GB| 30 hari,9800,Paket Data,AXIS,shopee
15,"Paket KZL Games (Vainglory) 1GB,  30 hari",9725,Paket Data,AXIS,shopee
21,AIGO Mini 1GB + Kuota di Kota-mu 3hr,9925,Paket Data,AXIS,shopee
