,SKU,price,note,category,brand
0,5.000,5990,Set harga,Pulsa,Telkomsel
1,10.000,10650,Set harga,Pulsa,Telkomsel
2,15.000,14960,Set harga,Pulsa,Telkomsel
3,20.000,20185,Set harga,Pulsa,Telkomsel
4,25.000,25025,Set harga,Pulsa,Telkomsel
5,30.000,30075,Set harga,Pulsa,Telkomsel
6,35.000,35490,Set harga,Pulsa,Telkomsel
7,40.000,39940,Set harga,Pulsa,Telkomsel
8,45.000,45450,Set harga,Pulsa,Telkomsel
9,50.000,50025,Set harga,Pulsa,Telkomsel
10,55.000,55450,Set harga,Pulsa,Telkomsel
11,60.000,60450,Set harga,Pulsa,Telkomsel
10,65.000,65450,Set harga,Pulsa,Telkomsel
11,70.000,70450,Set harga,Pulsa,Telkomsel
12,75.000,75025,Set harga,Pulsa,Telkomsel
13,80.000,80450,Set harga,Pulsa,Telkomsel
14,85.000,85450,Set harga,Pulsa,Telkomsel
15,90.000,90450,Set harga,Pulsa,Telkomsel
8,95.000,95450,Set harga,Pulsa,Telkomsel
9,100.000,99320,Set harga,Pulsa,Telkomsel
10,150.000,150745,Set harga,Pulsa,Telkomsel
11,200.000,199085,Set harga,Pulsa,Telkomsel
12,300.000,298050,Set harga,Pulsa,Telkomsel
13,500.000,499150,Set harga,Pulsa,Telkomsel
14,1.000.000,997450,Set harga,Pulsa,Telkomsel
0,5.000,5998,Set harga,Pulsa,XL
1,10.000,10855,Set harga,Pulsa,XL
2,15.000,15450,Set harga,Pulsa,XL
3,25.000,24990,Set harga,Pulsa,XL
4,30.000,30270,Set harga,Pulsa,XL
5,50.000,50035,Set harga,Pulsa,XL
6,100.000,99800,Set harga,Pulsa,XL
7,150.000,149900,Set harga,Pulsa,XL
8,200.000,199600,Set harga,Pulsa,XL
9,300.000,299800,Set harga,Pulsa,XL
9,500.000,503400,Set harga,Pulsa,XL
10,1.000.000,999830,Set harga,Pulsa,XL
0,5.000,5958,Set harga,Pulsa,Axis
1,10.000,10863,Set harga,Pulsa,Axis
2,15.000,15450,Set harga,Pulsa,Axis
3,25.000,24990,Set harga,Pulsa,Axis
4,30.000,30270,Set harga,Pulsa,Axis
5,50.000,50035,Set harga,Pulsa,Axis
6,100.000,99800,Set harga,Pulsa,Axis
7,200.000,199600,Set harga,Pulsa,Axis
