,SKU,base_price,disc_price,brand,category,note,platform
0,5.000,Rp5.200,,smartfren,Pulsa,,tokopedia
1,10.000,Rp10.100,,smartfren,Pulsa,,tokopedia
4,20.000,Rp19.850,,smartfren,Pulsa,,tokopedia
5,25.000,Rp24.850,,smartfren,Pulsa,,tokopedia
6,30.000,Rp29.750,,smartfren,Pulsa,,tokopedia
7,50.000,Rp49.225,,smartfren,Pulsa,,tokopedia
6,55.000,Rp54.800,,smartfren,Pulsa,,tokopedia
7,60.000,Rp59.500,,smartfren,Pulsa,,tokopedia
6,75.000,Rp74.800,,smartfren,Pulsa,,tokopedia
9,80.000,Rp79.650,,smartfren,Pulsa,,tokopedia
10,100.000,Rp98.500,,smartfren,Pulsa,,tokopedia
7,150.000,Rp148.000,,smartfren,Pulsa,,tokopedia
8,200.000,Rp197.900,,smartfren,Pulsa,,tokopedia
9,300.000,Rp295.200,,smartfren,Pulsa,,tokopedia
4,500.000,Rp496.500,,smartfren,Pulsa,,tokopedia
5,1.000.000,Rp989.000,,smartfren,Pulsa,,tokopedia
2,5.000,Rp5.325,,telkomsel,Pulsa,,tokopedia
5,10.000,Rp10.300,,telkomsel,Pulsa,,tokopedia
6,15.000,Rp14.850,,telkomsel,Pulsa,,tokopedia
7,20.000,Rp19.890,,telkomsel,Pulsa,,tokopedia
0,0.94%,Rp5.275,Rp5.325,telkomsel,Pulsa,Lihat Detail,tokopedia
8,25.000,Rp24.950,,telkomsel,Pulsa,,tokopedia
9,30.000,Rp29.875,,telkomsel,Pulsa,,tokopedia
10,35.000,Rp34.950,,telkomsel,Pulsa,,tokopedia
4,40.000,Rp39.500,,telkomsel,Pulsa,,tokopedia
5,45.000,Rp44.990,,telkomsel,Pulsa,,tokopedia
8,50.000,Rp49.750,,telkomsel,Pulsa,,tokopedia
6,55.000,Rp54.890,,telkomsel,Pulsa,,tokopedia
7,60.000,Rp59.900,,telkomsel,Pulsa,,tokopedia
8,65.000,Rp64.950,,telkomsel,Pulsa,,tokopedia
9,70.000,Rp69.900,,telkomsel,Pulsa,,tokopedia
5,80.000,Rp80.500,,telkomsel,Pulsa,,tokopedia
6,85.000,Rp85.500,,telkomsel,Pulsa,,tokopedia
7,90.000,Rp89.990,,telkomsel,Pulsa,,tokopedia
4,95.000,Rp95.500,,telkomsel,Pulsa,,tokopedia
7,100.000,Rp98.500,,telkomsel,Pulsa,,tokopedia
8,150.000,Rp149.000,,telkomsel,Pulsa,,tokopedia
6,200.000,Rp197.000,,telkomsel,Pulsa,,tokopedia
7,300.000,Rp298.300,,telkomsel,Pulsa,,tokopedia
8,500.000,Rp499.000,,telkomsel,Pulsa,,tokopedia
9,1.000.000,Rp997.300,,telkomsel,Pulsa,,tokopedia
0,5.000,Rp5.850,,im3,Pulsa,,tokopedia
3,10.000,Rp10.975,,im3,Pulsa,,tokopedia
6,12.000,Rp12.075,,im3,Pulsa,,tokopedia
7,15.000,Rp14.980,,im3,Pulsa,,tokopedia
7,20.000,Rp19.940,,im3,Pulsa,,tokopedia
8,25.000,Rp24.925,,im3,Pulsa,,tokopedia
9,30.000,Rp29.750,,im3,Pulsa,,tokopedia
10,40.000,Rp39.800,,im3,Pulsa,,tokopedia
0,Rp19.850,Rp19.940,,im3,Pulsa,,tokopedia
6,50.000,Rp49.200,,im3,Pulsa,,tokopedia
9,60.000,Rp59.350,,im3,Pulsa,,tokopedia
10,80.000,Rp78.800,,im3,Pulsa,,tokopedia
6,90.000,Rp89.100,,im3,Pulsa,,tokopedia
7,100.000,Rp97.400,,im3,Pulsa,,tokopedia
10,115.000,Rp113.500,,im3,Pulsa,,tokopedia
6,125.000,Rp123.900,,im3,Pulsa,,tokopedia
7,150.000,Rp148.500,,im3,Pulsa,,tokopedia
8,200.000,Rp198.000,,im3,Pulsa,,tokopedia
6,250.000,Rp236.500,,im3,Pulsa,,tokopedia
9,500.000,Rp482.000,,im3,Pulsa,,tokopedia
0,5.000,Rp5.890,,xl,Pulsa,,tokopedia
1,10.000,Rp10.820,,xl,Pulsa,,tokopedia
2,15.000,Rp14.930,,xl,Pulsa,,tokopedia
3,25.000,Rp24.850,,xl,Pulsa,,tokopedia
4,30.000,Rp30.000,,xl,Pulsa,,tokopedia
5,50.000,Rp49.725,,xl,Pulsa,,tokopedia
5,100.000,Rp99.400,,xl,Pulsa,,tokopedia
6,150.000,Rp149.550,,xl,Pulsa,,tokopedia
7,200.000,Rp199.000,,xl,Pulsa,,tokopedia
4,300.000,Rp298.250,,xl,Pulsa,,tokopedia
5,500.000,Rp498.000,,xl,Pulsa,,tokopedia
6,1.000.000,Rp995.000,,xl,Pulsa,,tokopedia
0,5.000,Rp5.870,,axis,Pulsa,,tokopedia
1,10.000,Rp10.825,,axis,Pulsa,,tokopedia
4,15.000,Rp15.000,,axis,Pulsa,,tokopedia
5,25.000,Rp24.900,,axis,Pulsa,,tokopedia
6,30.000,Rp29.900,,axis,Pulsa,,tokopedia
5,50.000,Rp49.730,,axis,Pulsa,,tokopedia
6,100.000,Rp99.350,,axis,Pulsa,,tokopedia
7,200.000,Rp199.000,,axis,Pulsa,,tokopedia
8,300.000,Rp298.750,,axis,Pulsa,,tokopedia
4,500.000,Rp498.700,,axis,Pulsa,,tokopedia
5,1.000.000,Rp995.000,,axis,Pulsa,,tokopedia
0,1.000,Rp1.350,,3,Pulsa,,tokopedia
1,2.000,Rp2.325,,3,Pulsa,,tokopedia
2,3.000,Rp3.300,,3,Pulsa,,tokopedia
5,5.000,Rp5.570,,3,Pulsa,,tokopedia
6,8.000,Rp8.500,,3,Pulsa,,tokopedia
5,10.000,Rp10.450,,3,Pulsa,,tokopedia
6,15.000,Rp14.950,,3,Pulsa,,tokopedia
7,20.000,Rp19.830,,3,Pulsa,,tokopedia
8,25.000,Rp24.700,,3,Pulsa,,tokopedia
4,30.000,Rp29.850,,3,Pulsa,,tokopedia
7,40.000,Rp39.950,,3,Pulsa,,tokopedia
8,50.000,Rp49.400,,3,Pulsa,,tokopedia
9,60.000,Rp59.950,,3,Pulsa,,tokopedia
7,70.000,Rp69.450,,3,Pulsa,,tokopedia
8,75.000,Rp74.500,,3,Pulsa,,tokopedia
9,80.000,Rp79.900,,3,Pulsa,,tokopedia
5,90.000,Rp89.950,,3,Pulsa,,tokopedia
6,100.000,Rp98.800,,3,Pulsa,,tokopedia
7,125.000,Rp124.000,,3,Pulsa,,tokopedia
8,150.000,Rp147.520,,3,Pulsa,,tokopedia
5,200.000,Rp197.000,,3,Pulsa,,tokopedia
6,250.000,Rp246.000,,3,Pulsa,,tokopedia
7,300.000,Rp297.200,,3,Pulsa,,tokopedia
5,500.000,Rp495.000,,3,Pulsa,,tokopedia
0,Kuota 4GB,Rp10.925,Rp10.800,smartfren,Paket Data,,tokopedia
2,Kuota 9GB,Rp16.390,Rp16.250,smartfren,Paket Data,,tokopedia
4,Kuota 18GB,Rp30.000,Rp24.600,smartfren,Paket Data,,tokopedia
6,Kuota 15 Plus,Rp25.000,Rp24.750,smartfren,Paket Data,,tokopedia
8,Kuota 25 Plus,Rp36.000,Rp35.640,smartfren,Paket Data,,tokopedia
0,Kuota 9GB,Rp16.390,Rp16.250,smartfren,Paket Data,,tokopedia
8,Unlimited Nonstop 12GB,Rp54.000,Rp53.450,smartfren,Paket Data,,tokopedia
10,Kuota 50 Plus,Rp66.900,Rp66.230,smartfren,Paket Data,,tokopedia
12,Unlimited Nonstop 30GB,Rp75.600,Rp74.830,smartfren,Paket Data,,tokopedia
14,Kuota 100GB 24 Jam,Rp98.000,Rp96.500,smartfren,Paket Data,,tokopedia
16,Unlimited Harian 2GB (Total 60GB) 30 Hari,Rp98.500,Rp97.000,smartfren,Paket Data,,tokopedia
8,Unlimited Nonstop 45GB,Rp107.000,Rp105.350,smartfren,Paket Data,,tokopedia
0,Paket Bicara Semua Operator 20rb,Rp19.980,Rp19.800,telkomsel,Paket Data,,tokopedia
2,Paket Bicara Semua Operator 100 Menit + 1000 Menit Sesama 30 Hari,Rp56.500,Rp56.000,telkomsel,Paket Data,,tokopedia
4,Paket Bicara Semua Operator 30 Menit + 350 Menit Sesama 7 Hari,Rp22.900,Rp22.500,telkomsel,Paket Data,,tokopedia
6,Data 1GB,Rp22.400,Rp15.750,telkomsel,Paket Data,,tokopedia
8,Data 2GB,Rp44.800,Rp33.950,telkomsel,Paket Data,,tokopedia
10,Data 3GB,Rp50.500,Rp48.900,telkomsel,Paket Data,,tokopedia
12,Flash 500MB,Rp16.900,Rp10.000,telkomsel,Paket Data,,tokopedia
